waktu,jam
2025-05-04 14:44:40.194620,14
2025-05-04 14:44:42.413229,14
2025-05-04 14:44:44.628888,14
2025-05-04 14:44:47.797311,14
2025-05-04 14:44:59.219982,14
2025-05-04 14:45:01.450690,14
2025-05-04 14:45:04.352057,14
2025-05-04 14:45:06.570690,14
2025-05-04 14:45:08.778429,14
2025-05-04 14:45:11.195441,14
2025-05-04 14:45:13.414898,14
2025-05-04 14:45:16.331487,14
2025-05-04 14:45:19.413535,14
2025-05-04 14:45:21.601476,14
2025-05-04 14:45:23.841461,14
2025-05-04 14:45:26.170420,14
2025-05-04 14:45:32.108327,14
2025-05-04 14:45:38.028058,14
2025-05-04 14:45:41.058295,14
2025-05-04 14:45:42.830093,14
2025-05-04 14:45:44.649443,14
2025-05-04 14:46:06.369151,14
2025-05-04 14:46:12.515739,14
2025-05-04 14:46:17.084972,14
2025-05-04 14:46:22.252074,14
2025-05-04 14:46:30.359668,14
2025-05-04 14:46:37.326029,14
2025-05-04 14:46:40.464560,14
2025-05-04 14:46:42.709827,14
2025-05-04 14:46:44.541082,14
2025-05-04 14:46:46.677432,14
2025-05-04 14:46:49.065681,14
2025-05-04 14:46:51.291135,14
2025-05-04 14:46:54.072420,14
2025-05-04 14:47:07.097394,14
2025-05-04 14:47:08.751057,14
2025-05-04 14:47:19.204673,14
2025-05-04 14:47:23.681268,14
2025-05-04 14:47:25.820823,14
2025-05-04 14:47:28.173393,14
2025-05-04 14:47:32.819548,14
2025-05-04 14:47:43.533332,14
2025-05-04 14:47:45.617219,14
2025-05-04 14:47:47.716654,14
2025-05-04 14:47:49.806246,14
2025-05-04 14:47:52.024876,14
2025-05-04 14:47:57.399197,14
2025-05-04 14:48:06.122802,14
2025-05-04 14:48:17.460556,14
2025-05-04 14:48:20.299856,14
2025-05-04 14:48:22.313073,14
2025-05-04 14:48:24.574498,14
2025-05-04 14:48:26.373601,14
2025-05-04 14:48:28.153334,14
2025-05-04 14:48:30.549129,14
2025-05-04 14:48:32.593993,14
2025-05-04 14:48:34.855610,14
2025-05-04 14:48:38.070211,14
2025-05-04 14:48:40.338340,14
2025-05-04 14:48:42.137271,14
2025-05-04 14:48:44.373550,14
2025-05-04 14:48:47.026160,14
2025-05-04 14:48:49.276553,14
2025-05-04 14:48:51.502271,14
2025-05-04 14:48:53.447812,14
2025-05-04 14:48:55.225108,14
2025-05-04 14:48:57.013486,14
2025-05-04 14:48:58.792414,14
2025-05-04 14:49:03.238196,14
2025-05-04 14:49:05.382703,14
2025-05-04 14:49:07.981040,14
2025-05-04 14:49:10.229323,14
2025-05-04 14:49:20.565402,14
2025-05-04 14:49:22.393820,14
2025-05-04 14:49:25.719219,14
2025-05-04 14:49:27.391420,14
2025-05-04 14:49:30.025380,14
2025-05-04 14:49:35.437825,14
2025-05-04 14:49:37.598058,14
2025-05-04 14:49:39.818122,14
2025-05-04 14:49:41.500622,14
2025-05-04 14:49:45.171867,14
2025-05-04 14:49:47.935114,14
2025-05-04 14:49:51.509512,14
2025-05-04 14:49:57.390131,14
2025-05-04 14:49:59.642146,14
2025-05-04 14:50:03.092499,14
2025-05-04 14:50:06.240403,14
2025-05-04 14:50:10.887684,14
2025-05-04 14:50:13.116565,14
2025-05-04 14:50:17.335523,14
2025-05-04 14:50:19.629858,14
2025-05-04 14:50:21.889218,14
2025-05-04 14:50:24.123005,14
2025-05-04 14:50:26.630091,14
2025-05-04 14:50:28.412801,14
2025-05-04 14:50:31.360963,14
2025-05-04 14:50:33.611184,14
2025-05-04 14:50:37.449370,14
2025-05-04 14:50:39.691200,14
2025-05-04 14:50:41.976689,14
2025-05-04 14:50:43.757561,14
2025-05-04 14:50:46.089884,14
2025-05-04 14:50:48.356065,14
2025-05-04 14:50:54.026765,14
2025-05-04 14:50:56.281795,14
2025-05-04 14:50:58.724796,14
2025-05-04 14:51:00.506274,14
2025-05-04 14:51:02.742169,14
2025-05-04 14:51:05.031963,14
2025-05-04 14:51:08.930257,14
2025-05-04 14:51:14.330368,14
2025-05-04 14:51:22.690406,14
2025-05-04 14:51:27.094063,14
2025-05-04 14:51:29.287485,14
2025-05-04 14:51:32.178661,14
2025-05-04 14:51:38.504423,14
2025-05-04 14:51:40.610408,14
2025-05-04 14:51:53.898018,14
2025-05-04 14:52:21.826171,14
2025-05-04 14:52:26.062212,14
2025-05-04 14:53:14.174911,14
2025-05-04 14:55:06.646897,14
2025-05-04 14:55:08.264370,14
2025-05-04 14:55:20.605831,14
2025-05-04 14:55:23.068121,14
2025-05-04 14:55:31.448936,14
2025-05-04 14:55:33.763800,14
2025-05-04 14:55:35.600529,14
2025-05-04 14:55:38.113223,14
2025-05-04 14:55:39.935538,14
2025-05-04 14:55:41.741412,14
2025-05-04 14:55:43.816884,14
2025-05-04 14:55:45.416896,14
2025-05-04 14:55:47.470838,14
2025-05-04 14:55:49.073439,14
2025-05-04 14:55:51.410887,14
2025-05-04 14:55:53.184212,14
2025-05-04 14:55:55.461110,14
2025-05-04 14:55:57.517968,14
2025-05-04 14:55:59.753461,14
2025-05-04 14:56:01.523360,14
2025-05-04 14:56:09.661222,14
2025-05-04 14:56:13.289819,14
2025-05-04 14:56:15.364806,14
2025-05-04 14:56:19.277908,14
2025-05-04 14:56:21.334308,14
2025-05-04 14:56:23.563857,14
2025-05-04 14:56:25.804613,14
2025-05-04 14:56:28.048088,14
2025-05-04 14:56:30.323398,14
2025-05-04 14:56:32.092379,14
2025-05-04 14:56:33.886007,14
2025-05-04 14:56:36.100415,14
2025-05-04 14:56:38.183482,14
2025-05-04 14:56:40.436277,14
2025-05-04 14:56:42.519150,14
2025-05-04 14:56:44.598442,14
2025-05-04 14:56:46.764137,14
2025-05-04 14:56:49.331169,14
2025-05-04 14:56:51.094750,14
2025-05-04 14:56:53.137401,14
2025-05-04 14:56:55.274143,14
2025-05-04 14:56:57.462816,14
2025-05-04 14:56:59.475573,14
2025-05-04 14:57:08.953414,14
2025-05-04 14:57:11.047895,14
2025-05-04 14:57:13.042977,14
2025-05-04 14:57:15.269509,14
2025-05-04 14:57:17.621807,14
2025-05-04 14:57:23.306736,14
2025-05-04 14:57:25.362924,14
2025-05-04 14:57:27.382742,14
2025-05-04 14:57:29.004818,14
2025-05-04 14:57:31.336499,14
2025-05-04 14:57:32.940367,14
2025-05-04 14:57:36.128872,14
2025-05-04 14:57:38.139187,14
2025-05-04 14:57:40.415453,14
2025-05-04 14:57:42.437055,14
2025-05-04 14:57:44.547223,14
2025-05-04 14:57:46.730491,14
2025-05-04 14:57:48.833354,14
2025-05-04 14:57:50.619028,14
2025-05-04 14:57:52.926748,14
2025-05-04 14:57:54.574440,14
2025-05-04 14:57:56.753454,14
2025-05-04 14:57:58.760483,14
2025-05-04 14:58:00.897468,14
2025-05-04 14:58:11.146841,14
2025-05-04 14:58:13.254287,14
2025-05-04 14:58:15.035940,14
2025-05-04 14:58:17.164371,14
2025-05-04 14:58:18.791538,14
2025-05-04 14:58:21.595173,14
2025-05-04 14:58:23.657201,14
2025-05-04 14:58:25.320474,14
2025-05-04 14:58:27.428645,14
2025-05-04 14:58:29.727049,14
2025-05-04 14:58:31.786700,14
2025-05-04 14:58:34.027004,14
2025-05-04 14:58:37.181125,14
2025-05-04 14:58:39.366213,14
2025-05-04 14:58:41.616390,14
2025-05-04 14:58:43.945221,14
2025-05-04 14:58:46.153666,14
2025-05-04 14:58:48.389259,14
2025-05-04 14:58:50.460690,14
2025-05-04 14:58:52.742191,14
2025-05-04 14:58:54.938784,14
2025-05-04 14:58:57.279480,14
2025-05-04 14:59:00.182091,14
2025-05-04 14:59:02.164307,14
2025-05-04 14:59:11.585151,14
2025-05-04 14:59:26.165760,14
2025-05-04 14:59:28.205000,14
2025-05-04 14:59:31.873185,14
2025-05-04 14:59:34.224553,14
2025-05-04 14:59:44.440280,14
2025-05-04 14:59:48.664390,14
2025-05-04 14:59:54.738414,14
2025-05-04 14:59:59.294176,14
2025-05-04 15:00:01.521137,15
2025-05-04 15:00:04.044457,15
2025-05-04 15:00:06.704515,15
2025-05-04 15:00:09.854115,15
2025-05-04 15:00:14.921966,15
2025-05-04 15:00:19.192773,15
2025-05-04 15:01:02.195675,15
2025-05-04 15:01:07.858759,15
2025-05-04 15:01:11.241924,15
